Processor Pool Total:  820154608 Used:  353748464 Free:  466406144

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 221   0          0          0      49864          0          0 SSL background p
 110   0        448        448      49864          0          0 Ethernet LMI    
 194   0        448        448      49864          0          0 Flow Exporter Pa
 112   0        448        448      49864          0          0 Maintenance mode
 113   0        448        448      49864          0          0 RGF Process     
 193   0        448       2496      49864          0          0 Flow Exporter Ti
 230   0          0          0      49864          0          0 RIB tenant proce
 189   0        448        592      49864          0          0 nbar-pp-monitor 
 147   0          0          0      49864          0          0 DM Proc         
 328   0        448        448      49864          0          0 ISG MIB jobs Man
 327   0          0          0      49864          0          0 DAPR FNF Collect
 291   0          0          0      49864          0          0 PKI Revocation  
 188   0        448       2832      49864          0          0 nbar-sdavc-sched
 150   0          0          0      49864          0          0 LONG TO SHORT NA
 164   0        448        448      49864          0          0 Tunnel          
 309   0          0          0      49864          0          0 IPSec background
 186   0        448        592      49864          0          0 nbar-graph-sende
 234   0          0          0      49864          0          0 Ethernet PM Moni
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  41   0        448        448      49864          0          0 Dialer event    
 231   0          0          0      49864          0          0 test-throughput-
 129   0          0          0      49864          0          0 IEDGE ACCT TIMER
 184   0          0          0      49864          0          0 TCP Protocols   
 313   0          0          0      49864          0          0 Test AAA Client 
 138   0        448        448      49864          0          0 IPAM Events     
 133   0        448        448      49864          0          0 SSS Mobility mes
 134   0        448        448      49864          0          0 IP Static Sessio
 135   0        448        448      49864          0          0 DVLAN Config Pro
 303   0        448        448      49864          0          0 Crypto IKE Dispa
 142   0          0          0      49864          0          0 MPLS Auto-Tunnel
  21   0          0          0      49864          0          0 OIR Handler     
 249   0        448        448      49864          0          0 IP Inband Sessio
 170   0          0          0      49864          0          0 Routing Topology
 141   0          0          0      49864          0          0 LSP Tunnel FRR  
 250   0        448        448      49864          0          0 IP SIP Process  
 302   0          0          0      49864          0          0 Crypto INT      
  58   0      20032     108696      48432          0          0 EEM ED ND       
 341   0      19824       9464      48224          0          0 EEM ED Interface
 204   0      10544        448      47960          0          0 App Route Proces
 320   0      19040      10032      47440          0          0 EEM ED Track    
 322   0      18512       9464      46912          0          0 EEM ED Resource 
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 349   0      18144       9464      46544          0          0 EEM ED Timer    
 361   0      18104       9464      46504          0          0 EEM ED ethernet 
 321   0      18032       9464      46432          0          0 EEM ED Routing  
 319   0      18032       9464      46432          0          0 EEM ED NHRP     
 348   0      18032       9464      46432          0          0 EEM ED SNMP Noti
 339   0      17968       9464      46368          0          0 EEM ED CLI      
 346   0      17896       9464      46296          0          0 EEM ED SNMP     
 343   0      17840       9464      46240          0          0 EEM ED None     
 344   0      17840       9464      46240          0          0 EEM ED OIR      
 347   0      17840       9464      46240          0          0 EEM ED SNMP Obje
 340   0      17840       9464      46240          0          0 EEM ED Counter  
 342   0      17840       9464      46240          0          0 EEM ED IOSWD    
 351   0      17840       9464      46240          0          0 EEM ED Ipsla    
 335   0      16984        464      42120          0          0 dcm_expression_p
  67   0       3624          0      41488          0          0 LISP client     
 192   0      20480       5472      40872          0          0 SR CapMan Proces
 200   0       2128        448      39544          0          0 MVPN Mgr Process
 315   0      13848        464      39384          0          0 dcm_cli_provider
 332   0      27432        472      38976          0          0 DCM snmp dp Thre
 172   0       4256       3200      38920          0          0 IP Background   
 201   0        896        448      38312          0          0 Multicast Offloa
 176   0        408          0      38272          0          0 Tunnel FIB      
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 229   0        408          0      38272          0          0 Tenant Manager E
 285   0     937424     925168      38120          0          0 crypto engine pr
 334   0      17264      19688      37992          0          0 Bulkstat-Client 
 245   0        448        448      37864          0          0 vxlan sr main   
 305   0          0          0      37864          0          0 IPSEC manual key
 253   0          0          0      37864          0          0 IPv6 Static SRv6
 296   0          0          0      37864          0          0 SRMS_PROCESS    
  59   0        448        448      37864          0          0 Netsync ESMC pro
 215   0      35272      35272      37864          0          0 QoS stats proces
 177   0          0          0      37864          0          0 UID mgr backgrou
 205   0          0          0      37864          0          0 IPv6 RIB Cleanup
 233   0        448        448      37864          0          0 Ethernet PM Soft
 295   0          0          0      37864          0          0 SEGMENT ROUTING 
 298   0          0          0      37864          0          0 QOS PERUSER     
  93   0          0          0      37864          0          0 Network Synchron
  79   0          0          0      37864          0          0 HQF TARGET DYNAM
 169   0          0          0      37864          0          0 IP IRDP         
 206   0          0          0      37864          0          0 IPv6 RIB Event H
 207   0          0          0      37864          0          0 IPv6 Static Hand
 232   0          0          0      37864          0          0 Ethernet PM Proc
 203   0        448        448      37864          0          0 static          
 225   0          0          0      37864          0          0 Ethernet Datapla
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 368   0          0          0      37864          0          0 Per-Second Jobs 
 111   0        448        448      37864          0          0 Ethernet OAM Pro
 197   0       9176        368      34520          0          0 SSH Event handle
 109   0       9080        600      34496          0          0 Ethernet Event T
 371   0       9216        584      34496          0          0 EEM Helper Threa
 114   0       7048       1672      32912          0          0 ERP CTRL THREAD 
 121   0       5960       2640      31824          0          0 VPWS Thread     
 362   0      33456        896      31576          0          0 CTS credentials 
 333   0       6288        296      31536          0          0 snmp dcm ma shim
 314   0       4496          0      30360          0          0 dcm_cli_engine  
 360   0       3960        568      29824          0          0 qos_mon_periodic
 160   0       3632        480      29496          0          0 EVPN VPWS Thread
 242   0       3536          0      29400          0          0 EVPN main thread
  61   0       3696          0      29360          0          0 ETH_PLAT_SW_THRE
 259   0       3456          0      29320          0          0 SRv6FIB DM Threa
  71   0       3448          0      29312          0          0 FHRP Main thread
 123   0       3728        200      29264          0          0 NVE main thread 
  73   0       3344          0      29208          0          0 TRACK Client thr
  72   0       3344          0      29208          0          0 TRACK Main threa
  74   0       3344          0      29208          0          0 VRRP Main thread
   5   0       3296          0      29160          0          0 Check heaps     
 119   0       3152          0      29016          0          0 MLRIB L2 Msg Thr
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 118   0       3152          0      29016          0          0 L2FIB Timer Disp
 244   0       3152          0      29016          0          0 NVE MGR RWATCH T
 159   0       3008          0      28872          0          0 AC Mgr          
 367   0       2976          0      28840          0          0 Per-minute Jobs 
  42   0    1596768    1616440      28368          0          0 crypto sw pk pro
  30   0       2264          0      28128          0          0 IPC Seat Manager
 326   0       2464        448      27880          0          0 DAPR RM RCV PROC
 331   0       1824          0      27688          0          0 IKEv2 Cluster Lo
 196   0       1616          0      27480          0          0 DNS Service     
 276   0       7040       5712      27192          0          0 NIST rng proc   
  53   0        872          0      26736          0          0 IF-MGR control p
  49   0     101888        744      26720          0          0 TTY Background  
 256   0       1512        752      26624          0          0 LFDp Input Proc 
 191   0        560          0      26424          0          0 Service Routing 
 100   0        896        448      26312          0          0 Spanning Tree   
 311   0        432          0      26296          0          0 GKM KS PROCESS  
  60   0        408          0      26272          0          0 Src Fltr backgro
 190   0        448        448      25864          0          0 Dialer Forwarder
 228   0          0          0      25864          0          0 HQF Input Shaper
  33   0          0          0      25864          0          0 IPC Seat TX Cont
  34   0          0          0      25864          0          0 IPC Keep Alive M
 182   0          0          0      25864          0          0 Socket Timers   
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
  27   0          0          0      25864          0          0 IPC Periodic Tim
  35   0          0          0      25864          0          0 IPC Loadometer  
 239   0          0          0      25864          0          0 ac_atm_mraps_hsp
 235   0        448        448      25864          0          0 PPPoE VRRS EVT M
 241   0          0          0      25864          0          0 BD Route Rx Proc
 175   0        448        448      25864          0          0 PPP Compress Res
  32   0          0          0      25864          0          0 IPC Seat RX Cont
 208   0        448        448      25864          0          0 DHCPv6 LQ client
 238   0          0          0      25864          0          0 ac_atm_state_eve
 248   0          0          0      25864          0          0 Probe Input     
